                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.62568,                 1.4159,                 1.1137,                0.77981,                0.81341,                0.90205,                0.83619,                0.57451,                 1.6363,                0.87073,              0.0003959,              0.0003959,              0.0003959
                     36,                0.69639,                 1.3562,                 1.1127,                0.69625,                0.89567,                0.93458,                0.86737,                0.61087,                 1.7173,                0.89808,             0.00039008,             0.00039008,             0.00039008
                     37,                0.63056,                 1.2923,                 1.0552,                 0.6942,                0.93241,                0.93245,                0.84338,                0.63735,                 1.8317,                0.91327,             0.00038426,             0.00038426,             0.00038426
                     38,                0.63244,                 1.5296,                 1.0898,                0.76004,                0.87572,                0.94159,                0.85628,                0.62929,                 1.7725,                0.90521,             0.00037844,             0.00037844,             0.00037844
                     39,                 0.6243,                 1.3099,                 1.0536,                0.75966,                0.90419,                0.94817,                0.88548,                0.59855,                 1.7758,                0.87976,             0.00037262,             0.00037262,             0.00037262
                     40,                0.61126,                  1.415,                 1.0814,                0.76502,                0.90751,                0.94861,                0.89375,                0.57426,                 1.7332,                 0.8612,             0.00036679,             0.00036679,             0.00036679
                     41,                0.64211,                 1.5678,                 1.1211,                0.76879,                 0.8778,                0.96074,                0.90598,                0.55536,                 1.6683,                0.85178,             0.00036097,             0.00036097,             0.00036097
                     42,                0.58923,                 1.2346,                 1.0039,                0.90702,                0.81215,                0.97039,                0.92818,                0.54668,                  1.585,                0.85262,             0.00035515,             0.00035515,             0.00035515
                     43,                0.59011,                 1.3173,                 1.0558,                0.86068,                  0.866,                0.96557,                0.90756,                0.55114,                 1.4948,                0.85995,             0.00034933,             0.00034933,             0.00034933
                     44,                0.59951,                 1.2789,                 1.0449,                  0.857,                0.90986,                0.97673,                0.88415,                0.56642,                 1.4999,                0.87623,             0.00034351,             0.00034351,             0.00034351
                     45,                0.57098,                  1.133,                 1.0139,                0.75461,                 0.9533,                0.97797,                 0.8671,                0.56386,                 1.4842,                0.88551,             0.00033769,             0.00033769,             0.00033769
                     46,                0.60152,                 1.2813,                 1.0804,                0.86893,                0.92514,                0.98091,                0.86038,                0.57629,                 1.4276,                0.91144,             0.00033187,             0.00033187,             0.00033187
                     47,                0.57973,                 1.4038,                 1.0885,                0.85793,                0.93124,                  0.982,                0.87813,                0.55817,                 1.3941,                0.89379,             0.00032605,             0.00032605,             0.00032605
                     48,                0.59128,                 1.0646,                 1.0039,                 0.8058,                0.95153,                 0.9799,                0.90057,                0.54985,                 1.3412,                0.87541,             0.00032022,             0.00032022,             0.00032022
                     49,                0.66004,                 1.1942,                 1.0535,                 0.8993,                0.87634,                0.97632,                0.90124,                0.53341,                 1.3199,                0.85406,              0.0003144,              0.0003144,              0.0003144
                     50,                0.61212,                 1.2933,                 1.0753,                0.91943,                0.89475,                0.97523,                0.91752,                0.51698,                 1.2985,                0.83528,             0.00030858,             0.00030858,             0.00030858
                     51,                0.60963,                 1.1904,                 1.0677,                0.93319,                0.88498,                0.97752,                0.92093,                0.50631,                 1.2805,                0.82371,             0.00030276,             0.00030276,             0.00030276
                     52,                0.57357,                 1.2499,                 1.0366,                0.88845,                0.86524,                0.97927,                0.92487,                0.50682,                 1.3101,                0.81704,             0.00029694,             0.00029694,             0.00029694
